"SYMBOL
","OPEN
","HIGH
","LOW
","PREV. CLOSE
","LTP
","INDICATIVE CLOSE
","CHNG
","%CHNG
","VOLUME
(shares)","VALUE
 (₹ Crores)","52W H
","52W L
","30 D   %CHNG
","365 D % CHNG
 21-Dec-2023"
"NIFTY TOTAL MARKET","12,871.90","12,911.45","12,584.80","12,853.05","12,606.65","-","-246.40","-1.92","2,81,85,77,975","1,20,292.17","13,842.60","7,145.35","1.62","18.50"
"GICRE","444.00","525.50","438.35","442.45","519.70","-","77.25","17.46","4,39,28,862","2,146.58","525.50","295.55","34.93","61.30"
"AEGISLOG","767.35","855.30","759.50","755.45","835.00","-","79.55","10.53","1,19,97,222","974.51","970.00","330.40","-1.68","-"
"TECHNOE","1,540.00","1,652.60","1,528.00","1,542.00","1,635.00","-","93.00","6.03","8,85,491","142.20","1,822.00","607.20","10.49","126.20"
"ZENTEC","2,448.00","2,590.00","2,323.25","2,424.00","2,562.30","-","138.30","5.71","15,93,381","389.79","2,590.00","688.05","40.94","-"
"MTARTECH","1,670.05","1,777.00","1,653.05","1,627.35","1,720.00","-","92.65","5.69","16,97,001","293.71","2,345.00","1,495.40","-1.21","-23.07"
"NETWORK18","70.30","75.78","70.30","70.18","74.10","-","3.92","5.59","2,47,56,314","182.63","135.70","70.01","-11.68",-13.46
"BASF","5,785.00","5,950.00","5,630.05","5,460.45","5,713.65","-","253.20","4.64","6,54,343","378.61","8,750.00","2,868.00","-4.64","87.79"
"IXIGO","159.00",167.40,"159.00","158.48","165.10","-","6.62","4.18","41,29,902","68.05","197.50","131.60","15.08","-"
"CARTRADE","1,553.25","1,650.00","1,551.25","1,537.85","1,599.00","-","61.15","3.98","6,06,532","96.70","1,650.00","623.90","23.70","124.82"
"NIACL","205.70","221.80","205.60","205.36","213.20","-","7.84","3.82","1,44,36,783","313.23","324.70","168.80","21.33","-1.06"
"RAYMOND","1,714.20","1,764.75","1,651.20","1,700.60","1,760.00","-","59.40","3.49","5,27,721","89.93","3,496.00","1,325.00","16.52","0.78"
"NEWGEN","1,534.90","1,629.00","1,525.65","1,522.25","1,574.00","-","51.75","3.40","14,72,241","234.32","1,629.00","675.00","41.83","-"
"MAHABANK","53.30","55.78","52.76","53.08","54.85","-","1.77","3.33","4,35,32,217","236.86","73.50","43.05","4.41","19.91"
